3/31/2020 23:39,"b'RT @celestelabedz: Know a kid who would rather watch #Frozen2 on repeat than do schoolwork?\n\nWell then, buckle up right here for a kid-frie\xe2\x80\xa6'"
,
3/31/2020 23:39,"b'RT @DisneyAnimation: For this shot in ""Show Yourself,"" the Lighting team designed a pattern of dancing light.  The pattern was fixed onto a\xe2\x80\xa6'"
,
3/31/2020 23:38,b'RT @Disney: #Frozen2 is now streaming on #DisneyPlus \xe2\x9d\x84\xef\xb8\x8f \xf0\x9f\x8d\x82 https://t.co/xb2MyfDc2E'
,
3/31/2020 23:38,b'RT @Disney: #Frozen2 is now streaming on #DisneyPlus \xe2\x9d\x84\xef\xb8\x8f \xf0\x9f\x8d\x82 https://t.co/xb2MyfDc2E'
,
3/31/2020 23:38,b'RT @Disney: #Frozen2 is now streaming on #DisneyPlus \xe2\x9d\x84\xef\xb8\x8f \xf0\x9f\x8d\x82 https://t.co/xb2MyfDc2E'
,
3/31/2020 23:37,"b'RT @honeymarens: introducing her majesty, queen anna of arendelle!! \xf0\x9f\xa5\xb0\xf0\x9f\x92\x95 #Frozen2 #ACNH https://t.co/vOppwWeKvX'"
,
3/31/2020 23:35,b'RT @disneyplus: Surprise! #Frozen2 has arrived early on #DisneyPlus. Stream it now with your 7-day free trial.'
,
3/31/2020 23:35,"b'RT @DisneyAnimation: For this shot in ""Show Yourself,"" the Lighting team designed a pattern of dancing light.  The pattern was fixed onto a\xe2\x80\xa6'"
,
3/31/2020 23:35,b'RT @Disney: #Frozen2 is now streaming on #DisneyPlus \xe2\x9d\x84\xef\xb8\x8f \xf0\x9f\x8d\x82 https://t.co/xb2MyfDc2E'
,
3/31/2020 23:35,b'RT @snowybeam: studies of one of my favorite sequences in #Frozen2 https://t.co/JIhjBxeYbI'
,
3/31/2020 23:35,"b'A little #backyardtime with my #daughters . These two make me appreciate #spring even more. #socialdistancing #luckymom #frozen2 #2yearold #11yearold @ Wichita, Kansas https://t.co/0XPOik3MYD'"
,
3/31/2020 23:34,b'RT @Morisawa_Taki: \xf0\x9f\x8c\xb8Spring Snow\xe2\x9d\x84  #frozen2 https://t.co/TI52a452Ix'
,
3/31/2020 23:34,b'RT @Disney: #Frozen2 is now streaming on #DisneyPlus \xe2\x9d\x84\xef\xb8\x8f \xf0\x9f\x8d\x82 https://t.co/xb2MyfDc2E'
,
3/31/2020 23:34,b'RT @Disney: #Frozen2 is now streaming on #DisneyPlus \xe2\x9d\x84\xef\xb8\x8f \xf0\x9f\x8d\x82 https://t.co/xb2MyfDc2E'
,
3/31/2020 23:34,"b'RT @DisneyAnimation: For this shot in ""Show Yourself,"" the Lighting team designed a pattern of dancing light.  The pattern was fixed onto a\xe2\x80\xa6'"
,
3/31/2020 23:33,"b'RT @DisneyAnimation: For this shot in ""Show Yourself,"" the Lighting team designed a pattern of dancing light.  The pattern was fixed onto a\xe2\x80\xa6'"
,
